priority,name,country_code,operator_type,application_status,application_note,has_explicit_deadline,typical_award_amount,typical_award_currency,max_cap_amount,max_cap_currency,last_verified,freshness,days_old,source_domain,source_url,source_description,flags,seed_line
2,Asian Network of Documentary (AND) Fund,KR,festival,unknown,"The public ACF pages show the 2026 call for submissions and an AND Fund guideline PDF, but the current deadline is not visible on the overview page.",no,,,20000000.0,KRW,2026-04,current,-13,acf.biff.kr,https://acf.biff.kr/eng/,Asian Cinema Fund - Asian Network of Documentary (AND) Fund,status_unknown;deadline_not_specific,5460
2,TAICCA Creative Content Development Program - Documentary,TW,government,unknown,The current program page publishes documentary development ceilings but does not show a single fixed annual deadline on the overview page.,no,,,2000000.0,TWD,2026-04,current,-13,taicca.tw,https://taicca.tw/funds/support_plan/detail/1,TAICCA - Creative Content Development Program (Documentary category),status_unknown;deadline_not_specific,4831
2,Catapult Film Fund Development Grant,US,foundation,open,The 2026 Catapult Development Grant is listed on the current application manager.,no,,,,EUR,2026-04,current,-13,catapultfilmfund.submittable.com,https://catapultfilmfund.submittable.com/submit,Catapult Film Fund - 2026 Development Grant application manager,deadline_not_specific;missing_award_signal,5696
2,Sundance Institute Documentary Short Fund,US,foundation,closed,The public page says the fund is currently closed and operates as a biennial opportunity; no current open-call date is posted.,no,,,,EUR,2026-04,current,-13,www.sundance.org,https://www.sundance.org/documentary-short-fund/,Sundance Institute Documentary Short Fund,deadline_not_specific;missing_award_signal,5795
1,Australia - Screen Queensland Production Attraction Strategy (PAS) Incentive,AU,government,open,"Official 2026 board-linked deadlines are 7 January, 11 March, 6 May, 8 July, 9 September, and 28 October 2026.",yes,,,,EUR,2026-04,current,-13,screenqueensland.com.au,https://screenqueensland.com.au/investment-support/incentives/production-attraction/,Screen Queensland - Production Attraction Strategy (PAS) Incentive,missing_award_signal,6687
1,Australia - South Australian Film Corporation Screen Production Fund,AU,government,rolling,Applications are open year-round through the SAFC grants platform; projects seeking over AUD 1.1 million must apply at least six weeks before a board meeting.,no,,,,AUD,2026-04,current,-13,www.safilm.com.au,https://www.safilm.com.au/funding-programs/,South Australian Film Corporation - Funding and Support Programs / Screen Production Fund,missing_award_signal,6731
1,Australia - South Australian PDV Rebate,AU,government,rolling,"Applications are made through the SAFC and should be submitted once the production schedule is reasonably certain; if also seeking SAFC production funding, both applications should be lodged at the same time.",no,,,,EUR,2026-04,current,-13,www.safilm.com.au,https://www.safilm.com.au/incentives/,South Australian Film Corporation - Incentives page and SA PDV Rebate guidelines,missing_award_signal,6752
1,Bosnia and Herzegovina Foundation for Cinematography Co-financing Calls,BA,foundation,closed,"As of 7 April 2026, the official ministry reports confirm that 2025 beneficiaries were selected and that early 2026 board sessions were preparing the next competition procedures; wait for the next published call.",yes,,,,BAM,2026-04,current,-13,fmks.gov.ba,https://fmks.gov.ba/hr/izvjesca-sa-sjednica-upravnih-odbora-fondacije-za-izdavastvo-fondacije-za-bibliotecku-djelatnost-fondacije-za-muzicke-scenske-i-likovne-umjetnosti-i-fondacije-za-kinematografiju-u-2025-i-2026-god/,"Federal Ministry of Culture and Sport (FBiH) reports on Foundation for Cinematography board work, 2025-2026",missing_award_signal,3965
1,Hot Docs Citizen Minutes Series 4,CA,festival,closed,Applications for Series 4 opened on 21 January 2026 and closed on 19 March 2026.,yes,,,,EUR,2026-04,current,-13,hotdocs.ca,https://hotdocs.ca/industry/film-funds/citizen-minutes,Hot Docs - Citizen Minutes Series 4,missing_award_signal,3160
1,Hot Docs CrossCurrents Canada Doc Fund,CA,mixed,closed,"Hot Docs describes the program on its Canadian Storytellers Project page, but no current open call is posted.",no,,,50000.0,CAD,2026-04,current,-13,hotdocs.ca,https://hotdocs.ca/industry/professional-development/canadian-storytellers-project,Hot Docs Canadian Storytellers Project - CrossCurrents Canada Doc Fund,deadline_not_specific,3100
1,Hot Docs-Blue Ice Docs Fund,CA,mixed,closed,Please check back later for information about applying to this fund.,no,,,40000.0,CAD,2026-04,current,-13,hotdocs.ca,https://hotdocs.ca/industry/film-funds/hot-docs-blue-ice-docs-fund,Hot Docs - Hot Docs-Blue Ice Docs Fund,deadline_not_specific,3061
1,Hot Docs-Slaight Family Fund,CA,mixed,closed,Applications are closed.,no,,,60000.0,CAD,2026-04,current,-13,hotdocs.ca,https://hotdocs.ca/industry/film-funds/hot-docs-slaight-family-fund,Hot Docs - Hot Docs-Slaight Family Fund,deadline_not_specific,3081
1,Den Vestdanske Filmpulje,DK,government,open,Official 2026 application windows are 7 January-12 May 2026 and 12 August-13 November 2026; decisions are typically given within 4-6 weeks.,yes,,,,EUR,2026-04,current,-13,filmpuljen.dk,https://filmpuljen.dk/stoette-ansoegning-og-aflevering/foer-du-soeger-stoette/ansoegningsperioder,Den Vestdanske Filmpulje - 2026 application periods and support information,missing_award_signal,2600
1,FilmFyn,DK,government,rolling,FilmFyn's current support terms took effect on 6 June 2025; producers are expected to make early contact with FilmFyn before submitting projects.,yes,,,,DKK,2026-04,current,-13,filmfyn.dk,https://filmfyn.dk/wp-content/uploads/2025/06/FilmFyns-stottevilkar-gaeldende-pr.-6.-juni-2025.pdf,FilmFyn support terms effective 6 June 2025 and 2024 annual overview,missing_award_signal,2619
1,BFI Doc Society Made of Truth Short Film Fund,GB,mixed,closed,The fund is now closed and is an annual open call.,no,,,25000.0,GBP,2026-04,current,-13,bfi.docsociety.org,https://bfi.docsociety.org/bfi-doc-shorts/,BFI Doc Society Made of Truth Short Film Fund,deadline_not_specific,223
1,BFI Doc Society Short Film Fund (Made of Truth),GB,mixed,closed,Annual scheme; the current round is closed.,no,,,25000.0,GBP,2026-04,current,-13,bfi.docsociety.org,https://bfi.docsociety.org/bfi-doc-shorts/,BFI Doc Society Shorts Fund / Made of Truth,deadline_not_specific,2070
1,Northern Ireland Screen Production Funding,GB,government,rolling,Start with Northern Ireland Screen's production team; projects need at least 65% finance in place before submission.,no,,,,GBP,2026-04,current,-13,northernirelandscreen.co.uk,https://northernirelandscreen.co.uk/funding/production-funding/,Northern Ireland Screen - Production funding,missing_award_signal,2281
1,Hong Kong Production Financing Scheme 2.0,HK,government,open,Scheme 2.0 is open on an ongoing basis with no published closing date.,no,,,10000000.0,HKD,2026-04,current,-13,www.fdc.gov.hk,https://www.fdc.gov.hk/en/services/services2.htm,Hong Kong FDC — Film Production Financing Scheme 2.0,deadline_not_specific,5140
1,Fukuoka City Location Incentive Funding,JP,government,open,"The FY2026 first round ran from 30 March to 30 April 2026, and the city says a second call is scheduled around August 2026.",yes,,,,JPY,2026-04,current,-13,www.city.fukuoka.lg.jp,https://www.city.fukuoka.lg.jp/keizai/contents/shisei/documents/kouhuyoukou.pdf,Fukuoka City Government - FY2026 Location Incentive Funding guidelines,missing_award_signal,4974
1,NTD Doc Series,KE,foundation,closed,The public page currently lists the 2025 grantees and does not publish a new open call as of 17 April 2026.,yes,,,,EUR,2026-04,current,-13,documentaryafrica.org,https://documentaryafrica.org/ntd-doc-series/,Documentary Africa - NTD Doc Series,missing_award_signal,5536
1,Norway Documentary Co-production Funding,NO,government,rolling,Documentaries are evaluated on a rolling basis with no specific deadline.,no,,,,EUR,2026-04,current,-13,www.nfi.no,https://www.nfi.no/en/co-producing-with-norway/co-producing-with-norway,Norwegian Film Institute - Co-producing with Norway (documentaries),missing_award_signal,632
1,Peru Concurso de Proyectos de Documental 2026,PE,government,open,The 2026 call opened on 6 April 2026 and closes on 27 May 2026.,yes,,,,EUR,2026-04,current,-13,estimuloseconomicos.cultura.gob.pe,https://estimuloseconomicos.cultura.gob.pe/2026/concursos/concurso-de-proyectos-de-documental,Peru Ministry of Culture - Concurso de proyectos de documental 2026,missing_award_signal,3603
1,Ford Foundation JustFilms Open Call,US,foundation,closed,"As of 7 April 2026, submissions for documentary film production grants are closed; Ford does not publish a fixed next deadline on the application page.",yes,,,,EUR,2026-04,current,-13,www.fordfoundation.org,https://www.fordfoundation.org/work/our-grants/justfilms/justfilms-application/,Ford Foundation - JustFilms Application,missing_award_signal,5832
1,IDA Enterprise Documentary Fund,US,mixed,closed,"As of 7 April 2026, IDA states that Enterprise Documentary Fund applications are paused for the 2025 funding cycle while the program is under strategic review, and no reopened cycle has been published.",yes,,,,EUR,2026-04,current,-13,www.documentary.org,https://www.documentary.org/enterprise/about,International Documentary Association - Enterprise Documentary Fund,missing_award_signal,6131
1,Jewish Story Partners Jury Grants,US,foundation,closed,"Jewish Story Partners accepts one annual open call each year in late fall and closes it in January; the site currently says 'Apply for funding by January 16th, 2026' and decisions are announced by early summer.",yes,,,,EUR,2026-04,current,-13,jewishstorypartners.org,https://jewishstorypartners.org/guidelines/,"Jewish Story Partners - Guidelines, FAQ, and 2026 call-to-apply page text",missing_award_signal,6191
1,SFFILM Sloan Stories of Science Development Fund,US,mixed,closed,Applications will reopen in 2027; the fund operates every two years.,no,,,20000.0,USD,2026-04,current,-13,sffilm.org,https://sffilm.org/sffilm-sloan-stories-of-science-development-fund/,SFFILM Sloan Stories of Science Development Fund overview,deadline_not_specific,5931
1,Who Let The Docs Out - Automation & Humanity Documentary Fund,US,mixed,closed,The 2026 summer grant cycle opens in early June; the spring cycle closed on 16 March 2026.,yes,,,50000.0,USD,2026-04,current,-13,www.docsout.org,https://www.docsout.org/grants,Who Let The Docs Out - Grants,generic_source_url,5734
1,Who Let The Docs Out - Coexistence Documentary Fund,US,mixed,closed,The 2026 summer grant cycle opens in early June; the spring cycle closed on 16 March 2026.,yes,,,50000.0,USD,2026-04,current,-13,www.docsout.org,https://www.docsout.org/grants,Who Let The Docs Out - Grants,generic_source_url,5714
0,Argentina Concurso de Largometrajes: Ficción y Documental - 1er Llamado 2026,AR,government,closed,The 2026 call opened on 17 March 2026 and closed on 17 April 2026 at 14:00.,yes,,,85000.0,USD,2026-04,current,-13,www.incaa.gob.ar,https://www.incaa.gob.ar/convocatorias/concurso-de-largometrajes-ficcion-y-documental-1-llamado-2026/,INCAA - Concurso de largometrajes: Ficción y Documental - 1° llamado 2026,,3621
0,Argentina Concurso de Postproduccion 2026,AR,government,closed,The 2026 call opened on 24 February 2026 and closed on 27 March 2026.,yes,,,20000.0,USD,2026-04,current,-13,www.incaa.gob.ar,https://www.incaa.gob.ar/convocatorias/concurso-de-postproduccion-2026/,INCAA - Concurso de Postproduccion 2026,,3640
0,Australia - Screen Queensland Screen Finance Fund,AU,government,rolling,"Rolling fund; Screen Queensland states applications over AUD 250,000 are considered against board meeting dates, and smaller applications are also assessed in line with those dates.",no,,,850000.0,AUD,2026-04,current,-13,screenqueensland.com.au,https://screenqueensland.com.au/investment-support/investments/finance-program/,Screen Queensland - Screen Finance Fund,,6709
0,Alter-Cine Foundation Documentary Film Grants,CA,foundation,open,Applications are accepted each year by email and the 2026 deadline is 15 August 2026.,yes,,,10000.0,CAD,2026-04,current,-13,altercine.org,https://altercine.org/en/documentary-film-grants/,Alter-Cine Foundation - Documentary Film Grants,,6069
0,Rogers Documentary Fund,CA,foundation,open,The 2026 deadlines are Wednesday 22 April 2026 and Wednesday 19 August 2026.,yes,,,100000.0,CAD,2026-04,current,-13,www.rogersgroupoffunds.com,https://www.rogersgroupoffunds.com/fund-my-project/documentary-fund/,Rogers Group of Funds - Documentary Fund,,6089
0,Chile Fondo Audiovisual 2026 - Largometraje Documental,CL,government,closed,"The 2026 call closed on 14 August 2025; the documentary feature modality publishes a maximum of CLP 180,000,000 per project.",yes,,,180000000.0,CLP,2026-04,current,-13,www.fondosdecultura.cl,https://www.fondosdecultura.cl/produccion-audiovisual-de-largometrajes-fondo-audiovisual-2026/,Chile Ministry of Cultures - Fondo Audiovisual 2026 / Largometraje documental,,3572
0,Ibermedia Co-production Grant,ES,mixed,closed,The 2026 call ran from 30 January 2026 to 30 March 2026 at 11:59 a.m. local time of the lead production company.,yes,,,150000.0,USD,2026-04,current,-13,www.programaibermedia.com,https://www.programaibermedia.com/nuestras-convocatorias/,Programa Ibermedia — Co-production support,,6634
0,Aide aux cinémas du monde,FR,mixed,closed,The next published 2026 dates are 13 April 2026 for post-filming support and 2 June 2026 for pre-filming support session 2.,yes,,,300000.0,EUR,2026-04,current,-13,www.cnc.fr,https://www.cnc.fr/web/en/funds/aide-aux-cinemas-du-monde_190870,CNC / Institut français - Aide aux cinémas du monde,,5635
0,Eurimages Co-production Support,FR,mixed,closed,"2026 deadlines are 9 January, 31 March and 8 September 2026 at 12:00 noon CET; the next deadline is 8 September 2026.",yes,,,500000.0,EUR,2026-04,current,-13,www.coe.int,https://www.coe.int/en/web/eurimages/deadlines,Council of Europe — Eurimages co-production deadlines and application timing,,6596
0,BFI Doc Society Fund,GB,mixed,closed,"As of 7 April 2026, the legacy features guidelines remain public, but the new BFI Doc Society Fund strands are still awaiting their Spring 2026 reopening announcement.",yes,,,150000.0,GBP,2026-04,current,-13,bfi.docsociety.org,https://bfi.docsociety.org/static/files/bfi/BFIDocSocietyFeatures_Guidelines.pdf,BFI Doc Society Features Fund guidelines and 2026 relaunch page,,182
0,BFI Doc Society RAD Fund,GB,mixed,closed,New applications closed to film applications on 6 October 2025.,yes,,,10000.0,GBP,2026-04,current,-13,bfi.docsociety.org,https://bfi.docsociety.org/bfi-doc-rad/,BFI Doc Society RAD Fund,,203
0,BFI Filmmaking Fund - Discovery and Impact Feature Funding,GB,mixed,rolling,"Impact is open on a rolling basis; Discovery is closed and next runs 1-30 July 2026, then 12 November-16 December 2026.",yes,,,1250000.0,GBP,2026-04,current,-13,www.bfi.org.uk,https://www.bfi.org.uk/get-funding-support/create-films-tv-or-new-formats-storytelling/production-fund,BFI - Discovery and Impact feature funding (guidelines updated 5 March 2026),,159
0,BFI NETWORK England short film funding,GB,government,closed,The 10 February 2026 round closed at 11am on 18 March 2026; the page says the next supported production window runs from 1 November 2026 to 31 October 2027.,yes,,,25000.0,GBP,2026-04,current,-13,www.bfi.org.uk,https://www.bfi.org.uk/get-funding-support/bfi-network/bfi-network-england-short-film-funding,BFI NETWORK England short film funding,,2005
0,BFI NETWORK England: Early Development Fund,GB,government,closed,The current round closed at 11am on 18 November 2025.,yes,,,5000.0,GBP,2026-04,current,-13,www.bfi.org.uk,https://www.bfi.org.uk/get-funding-support/bfi-network/bfi-network-funding-finder/bfi-network-england-early-development-fund,BFI NETWORK England: Early Development Fund,,2027
0,Ffilm Cymru Wales Beacons: Short Film Funding,GB,mixed,closed,Currently closed for applications; the latest round closed on 27 June 2025 at 12pm.,yes,,,25000.0,GBP,2026-04,current,-13,ffilmcymruwales.com,https://ffilmcymruwales.com/funding-and-training/beacons-short-film-funding,Ffilm Cymru Wales - Beacons: Short Film Funding,,2219
0,Ffilm Cymru Wales Feature Film Development,GB,mixed,closed,The fund is paused for the rest of the 2025-26 financial year and is due to reopen in April 2026.,yes,,,24999.0,GBP,2026-04,current,-13,ffilmcymruwales.com,https://ffilmcymruwales.com/funding-and-training/feature-film-development,Ffilm Cymru Wales - Feature Film Development,,2241
0,Ffilm Cymru Wales Production Fund,GB,mixed,rolling,"No strict deadlines; ACW production funding is fully allocated through April 2026, while Creative Wales-backed production support remains available.",yes,,,600000.0,GBP,2026-04,current,-13,ffilmcymruwales.com,https://ffilmcymruwales.com/funding-and-training/feature-film-production,Ffilm Cymru Wales - Feature Film Production Fund,,2198
0,Northern Ireland Screen New Shorts Focus,GB,government,closed,The 2025-26 development process ended on 29 August 2025.,yes,,,12500.0,GBP,2026-04,current,-13,northernirelandscreen.co.uk,https://northernirelandscreen.co.uk/funding/short-film-calls/new-shorts-focus-2/,Northern Ireland Screen - New Shorts Focus,,2302
0,Northern Ireland Screen Short Film Call,GB,government,closed,The 2025 short film call closed on 27 June 2025 for individual applications and 1 August 2025 for company applications.,yes,,,7500.0,GBP,2026-04,current,-13,northernirelandscreen.co.uk,https://northernirelandscreen.co.uk/funding/short-film-calls/short-film-call/,Northern Ireland Screen - Short Film Call,,2324
0,One World Media Amazon Film Grant,GB,foundation,closed,The 2025 cycle is complete; One World Media announced the winner on 28 November 2025.,yes,,,5000.0,USD,2026-04,current,-13,oneworldmedia.org.uk,https://oneworldmedia.org.uk/projects/amazon-film-grant/,One World Media - Amazon Film Grant,,6511
0,One World Media Climate and Labour Film Grant,GB,foundation,closed,The 2024 cycle is complete; the deadline was 1 September 2024 and the film was completed by June 2025.,yes,,,20000.0,GBP,2026-04,current,-13,oneworldmedia.org.uk,https://oneworldmedia.org.uk/fellowship/apply/climate-and-labour-film-grant/,One World Media - Climate and Labour Film Grant,,6471
0,One World Media Global Health Film Grant,GB,foundation,closed,The 2025 cycle is complete; the deadline was 20 August 2025 and final delivery is due in June 2026.,yes,,,20000.0,GBP,2026-04,current,-13,oneworldmedia.org.uk,https://oneworldmedia.org.uk/projects/global-health-film-grant/,One World Media - Global Health Film Grant,,6491
0,Screen Scotland Film Development and Production Fund,GB,government,rolling,Rolling applications; submit no later than 12 weeks before pre-production and allow up to 10 weeks for a decision.,no,,,500000.0,GBP,2026-04,current,-13,www.screen.scot,https://www.screen.scot/funding-and-support/funding/film-development-and-production-fund,Screen Scotland - Film Development and Production Fund page and 2025 funding overview,,2091
0,Screen Yorkshire Content Fund,GB,mixed,rolling,Start with an expression of interest; full applications are assessed once private match finance is in place.,no,,,500000.0,GBP,2026-04,current,-13,www.screenyorkshire.co.uk,https://www.screenyorkshire.co.uk/content-funding/,Screen Yorkshire - Yorkshire Content Fund and FAQ,,2346
0,Take Three: Next Wave,GB,mixed,closed,The 2025 call closed at midday on 3 October 2025.,yes,,,25000.0,GBP,2026-04,current,-13,www.takethree.scot,https://www.takethree.scot/programme/next-wave/,Take Three - Next Wave,,2154
0,Take Three: North Star Shorts,GB,mixed,closed,The 2025 call closed on 26 September 2025.,yes,,,25000.0,GBP,2026-04,current,-13,www.takethree.scot,https://www.takethree.scot/programme/north-star-shorts/,Take Three - North Star Shorts,,2132
0,Take Three: The Bigger Picture,GB,mixed,closed,The 2025 call closed at midday on 10 November 2025.,yes,,,90000.0,GBP,2026-04,current,-13,www.takethree.scot,https://www.takethree.scot/programme/the-bigger-picture/,Take Three - The Bigger Picture,,2176
0,The Whickers Film & TV Funding Award,GB,foundation,closed,"Applications for the 2026 round are closed; the deadline was Friday 30 January 2026 at 23:59 GMT, with shortlisted projects contacted at the end of April and the winners announced at Sheffield DocFest in June 2026.",yes,,,120000.0,GBP,2026-04,current,-13,www.whickerawards.com,https://www.whickerawards.com/apply/film-and-tv/,The Whickers - Film & TV Funding Award 2026,,6451
0,Hong Kong-Europe-Asian Film Collaboration Funding Scheme,HK,government,open,The second phase opened on 28 June 2024 and supports up to eight films across two phases; confirm remaining quota with the FDC secretariat before filing.,yes,,,9000000.0,HKD,2026-04,current,-13,www.fdc.gov.hk,https://www.fdc.gov.hk/en/eafcfs/HKEAS%20Co-production%20guide%20%28E%29_202406.pdf,Hong Kong-Europe-Asian Film Collaboration Funding Scheme guide to application (June 2024 version),,5123
0,Screen Ireland Documentary Production: Feature Film,IE,government,rolling,Screen Ireland publishes standing production funding guidelines rather than fixed annual deadlines; documentary feature production applications are handled on a rolling basis.,no,,,250000.0,EUR,2026-04,current,-13,www.screenireland.ie,https://www.screenireland.ie/funding/funding-process-and-procedure/production-funding-guidelines,Screen Ireland - Production Funding Guidelines,,317
0,Screen Ireland Documentary: Creative Co-Production,IE,government,rolling,Screen Ireland publishes standing production funding guidelines rather than fixed annual deadlines; minority Irish documentary co-productions can apply through the production funding process on a rolling basis.,no,,,150000.0,EUR,2026-04,current,-13,www.screenireland.ie,https://www.screenireland.ie/funding/funding-process-and-procedure/production-funding-guidelines,Screen Ireland - Production Funding Guidelines,,337
0,Screen Ireland Fiction: Creative Co-Production,IE,government,rolling,Screen Ireland publishes standing production funding guidelines rather than fixed annual deadlines; minority Irish creative co-productions can apply through the production funding process on a rolling basis.,no,,,350000.0,EUR,2026-04,current,-13,www.screenireland.ie,https://www.screenireland.ie/funding/funding-process-and-procedure/production-funding-guidelines,Screen Ireland - Production Funding Guidelines,,297
0,Screen Ireland Fiction: Irish Production,IE,government,rolling,Screen Ireland publishes standing production funding guidelines rather than fixed annual deadlines; new projects can apply through the production funding process on a rolling basis.,no,,,1300000.0,EUR,2026-04,current,-13,www.screenireland.ie,https://www.screenireland.ie/funding/funding-process-and-procedure/production-funding-guidelines,Screen Ireland - Production Funding Guidelines,,276
0,WRAP Fund â€” Western Region Audiovisual Producers Fund,IE,mixed,rolling,Applications are generally taken on a rolling basis after an initial enquiry to WRAP.,no,,,200000.0,EUR,2026-04,current,-13,wrapfund.ie,https://wrapfund.ie/production-investment/,"WRAP Fund — Production Investment (managed by Ardán, formerly Galway Film Centre)",,2643
0,TorinoFilmLab - TFL Co-Production Fund,IT,market,closed,The 2026 open call closed on 4 March 2026.,yes,,,50000.0,EUR,2026-04,current,-13,www.torinofilmlab.it,https://www.torinofilmlab.it/labs/tfl-co-production-fund,TorinoFilmLab - TFL Co-Production Fund 2026,,6531
0,Tokyo International Content Production Support Program Grant,JP,government,closed,The FY2025-2026 review schedule listed a final deadline of 30 January 2026; as of April 2026 no new call is posted.,yes,,,10000000.0,JPY,2026-04,current,-13,www.locationbox.metro.tokyo.lg.jp,https://www.locationbox.metro.tokyo.lg.jp/english/fund/,Tokyo Location Box - International Content Production Support Program Grant,,4950
0,Documentary Africa RRI Startup Grants,KE,foundation,open,The current RRI call lists a deadline of 13 April 2026 and support for impact campaigns to run between May 2026 and March 2027.,yes,,,10000.0,USD,2026-04,current,-13,documentaryafrica.org,https://documentaryafrica.org/rri-real-reel-impact/,Documentary Africa - Real Reel Impact program,,5516
0,AFAC Cinema Program (Lebanon-based regional fund),LB,foundation,open,"Open call from 15 April 2026, deadline 19 June 2026, with announcement scheduled for 15 December 2026.",yes,50000.0,USD,50000.0,USD,2026-04,current,-13,www.arabculturefund.org,https://www.arabculturefund.org/Programs/12/,AFAC Cinema Program open call and guidelines,,3406
0,AFAC Documentary Film Program,LB,foundation,closed,The 2026 open call opened on 2 February 2026 and closed on 2 April 2026.,yes,,,50000.0,USD,2026-04,current,-13,www.arabculturefund.org,https://www.arabculturefund.org/Programs/7,AFAC - Documentary Film Program,,5440
0,Luxembourg Film Fund (FLFA),LU,government,closed,"Official 2026 AFS levy dates are 11 May 2026, 21 September 2026, and 7 December 2026.",yes,,,3000000.0,EUR,2026-04,current,-13,filmfund.lu,https://filmfund.lu/en/funding/afs/,Film Fund Luxembourg — Selective Financial Assistance (AFS) and official selection calendar,,709
0,Mexico Estimulo a la Escritura de Guion y Desarrollo de Proyectos - Documental 2026,MX,government,closed,The 2026 development call opened on 2 January 2026 and closed on 3 February 2026 at 15:00 CST.,yes,,,200000.0,MXN,2026-04,current,-13,www.imcine.gob.mx,https://www.imcine.gob.mx/estimulo.php,IMCINE - Estimulo a la Escritura de Guion y Desarrollo de Proyectos (Development) 2026,,3237
0,Mexico FOCINE Produccion de Largometrajes Documentales 2026,MX,government,closed,The 2026 documentary production registration opened on 2 January 2026 and closed on 30 January 2026 at 15:00 CST.,yes,,,5000000.0,MXN,2026-04,current,-13,focine.imcine.gob.mx,https://focine.imcine.gob.mx/focine/documental/,IMCINE - Produccion de largometrajes documentales FOCINE 2026,,3218
0,Hubert Bals Fund - Script and Project Development Support,NL,festival,closed,The 2026 Development Support deadline was 2 April 2026; the next call has not yet been announced.,yes,,,10000.0,EUR,2026-04,current,-13,iffr.com,https://iffr.com/en/hubert-bals-fund/funding-schemes/hbf-script-and-project-development-support,IFFR Hubert Bals Fund - Script and Project Development Support and official deadlines page,,5554
0,IDFA Bertha Fund - IBF Classic,NL,festival,closed,The 2026 IBF Classic call closed in February 2026; IDFA says the next deadline will be announced when confirmed and there will be no June 2026 round.,yes,,,25000.0,EUR,2026-04,current,-13,professionals.idfa.nl,https://professionals.idfa.nl/training-funding/funding/ibf-classic/,IDFA Bertha Fund - IBF Classic,,5574
0,IDFA Bertha Fund - IBF Europe Minority Co-production,NL,festival,closed,The current deadline was 1 April 2026; the following published deadline is 15 January 2027.,yes,,,40000.0,EUR,2026-04,current,-13,professionals.idfa.nl,https://professionals.idfa.nl/training-funding/funding/ibf-europe/,IDFA Bertha Fund - IBF Europe minority co-production scheme,,5594
